university,country,city,language,meal_inexpensive_restaurant,water,cigarettes,monthly_pass,taxi,basic,internet,cinema,appartment_centre,appartment_outside_centre,beer_restaurant,beer_market,fruits,vegetables,location,latitude,longitude
University of Oslo,Norway,Oslo,English,20.11,2.26,14.58,81.84,1.51,239.31,48.99,16.04,1405.05,1144.04,9.725000000000001,3.7300000000000004,2.935,2.375,"(59.9133301, 10.7389701)",59.9133301,10.7389701
University of South-Eastern Norway,Norway,Kongsberg,English,18.1,2.71,13.87,41.22,,191.02,50.27,12.06,854.55,653.48,8.895,3.165,3.235,2.385,"(59.594550049999995, 9.670860075643745)",59.594550049999995,9.670860075643745
Universidade Nova de Lisboa,Portugal,Lisbon,English,12.46,0.8,5.51,41.55,0.52,127.21,34.41,7.79,1215.82,801.79,2.8600000000000003,1.65,1.6575,1.185,"(38.7077507, -9.1365919)",38.7077507,-9.1365919
NOVA IMS,Portugal,Lisbon,English,12.46,0.8,5.51,41.55,0.52,127.21,34.41,7.79,1215.82,801.79,2.8600000000000003,1.65,1.6575,1.185,"(38.7077507, -9.1365919)",38.7077507,-9.1365919
Johannes Kepler University Linz,Austria,Linz,İngilizce,15.06,0.54,5.71,51.93,1.33,209.39,39.47,12.46,698.7,601.15,4.255000000000001,1.42,2.485,1.5350000000000001,"(48.3059078, 14.286198)",48.3059078,14.286198
"University of Innsbruck
",Austria,Innsbruck,İngilizce,15.58,0.53,5.92,54.01,1.97,234.6,37.38,13.5,850.43,746.56,4.26,1.13,2.3474999999999997,1.4849999999999999,"(47.2654296, 11.3927685)",47.2654296,11.3927685
University of Innsbruck ,Austria,Innsbruck,İngilizce,15.58,0.53,5.92,54.01,1.97,234.6,37.38,13.5,850.43,746.56,4.26,1.13,2.3474999999999997,1.4849999999999999,"(47.2654296, 11.3927685)",47.2654296,11.3927685
University of Vienna,Austria,Vienna,İngilizce,15.58,0.67,6.23,36.35,1.78,213.45,33.66,11.43,983.06,690.86,4.4399999999999995,1.275,2.4175,1.58,"(48.2083537, 16.3725042)",48.2083537,16.3725042
Graz University of Technology (TU Graz),Austria,Graz,İngilizce,11.43,0.82,5.87,56.19,1.77,246.31,34.86,15.32,632.5,541.16,4.15,1.4300000000000002,2.4925,1.8,"(47.0708678, 15.4382786)",47.0708678,15.4382786
University of Klagenfurt,Austria,Klagenfurt,İngilizce,12.46,0.56,5.71,44.66,1.87,334.98,39.3,12.15,662.17,534.93,3.69,1.415,2.4025,1.2599999999999998,"(46.623943, 14.3075976)",46.623943,14.3075976
KU Leuven,Belgium,Leuven,İngilizce,15.58,0.67,7.53,38.09,2.6,196.35,43.55,12.41,842.51,722.29,4.335,1.9900000000000002,2.125,1.4649999999999999,"(50.879202, 4.7011675)",50.879202,4.7011675
Hasselt University,Belgium,Hasselt,İngilizce,15.58,0.83,7.79,27.35,2.08,205.85,51.93,10.39,908.86,744.4,2.5700000000000003,1.7650000000000001,1.9300000000000002,1.5150000000000001,"(50.9303735, 5.3378043)",50.9303735,5.3378043
