university,city,country,meal_inexpensive_restaurant,water,cigarettes,monthly_pass,taxi,basic,internet,cinema,appartment_centre,appartment_outside_centre,beer_restaurant,beer_market,fruits,vegetables,latitude,longitude
Washington State University,Pullman,United States,15,1.83,12.35,30,2.8,91.61,56.33,8,1500,,5.495,3.98,3.1625,4.17,46.7304268,-117.173895
Wayne State University,Detroit,United States,15.63,1.88,8,60,1.24,249.06,70.67,12.25,1266.67,880,5.375,2.2,3.46,2.965,42.3315509,-83.0466403
Graz University of Technology (TU Graz),Graz,Austria,11.43,0.82,5.87,56.19,1.77,246.31,34.86,15.32,632.5,541.16,4.15,1.43,2.4925,1.8,47.0708678,15.4382786
Iowa State University,Ames,United States,13.5,1.3,8.08,35,0.75,121.02,69.99,8.25,800,550,6,2.44,3.02,2.04,42.0267567,-93.6170448
Nagoya University,Nagoya,Japan,7.22,0.79,3.86,72.19,3.25,199.79,30.61,12.99,818.64,427.13,3.25,1.755,4.5525,3.08,35.1851045,136.8998438
Radboud University,Nijmegen,Netherlands,15.58,0.62,8.31,140.22,1.82,185.66,37.26,11.43,1090.63,830.96,5.45,1.5,2.0275,0.96,51.84257485,5.838960629
Simon Fraser University,Burnaby,Canada,12.66,1.08,11.17,99.77,1.44,100.01,63.82,11.17,1563.51,1459.27,5.215,2.65,3.155,3.535,49.2433804,-122.972545
University of Sherbrooke,Sherbrooke,Canada,11.18,1.51,10.42,60.75,1.3,121.58,44.92,7.07,510,446.72,4.915,2.265,2.7225,1.73,45.403271,-71.889038
The University of Arizona,Tucson,United States,15,1.72,9,37.5,1.4,241.89,69.67,10.5,1175,942,5.5,3.875,3.255,2.355,32.2228765,-110.9748477
University of Bremen,Bremen,Germany,12.46,0.51,7.37,70.42,2.39,219.1,36.35,10.13,649.19,497.09,3.895,1.125,1.745,1.61,53.0758196,8.8071646
University of Duisburg-Essen,Essen,Germany,11.43,0.4,7.27,83.1,2.08,217.31,38.95,10.39,952.14,441.45,3.325,1.26,1.635,1.5,51.4582235,7.0158171
University of Granada,Granada,Spain,10.39,0.62,5.32,41.55,2.08,112.14,39.38,8.26,584.27,467.41,2.6,1.565,1.6575,1.055,37.1734995,-3.5995337
University of Notre Dame,South Bend,United States,15,2.13,6.99,35,1.71,246.75,61.33,8,1107.5,850,5.125,1.255,3.545,2,41.6833813,-86.2500066
University of Pisa,Pisa,Italy,12.46,0.37,5.92,33.24,2.08,212.77,29.08,8.83,571.28,558.3,5.19,1.95,2.18,2.15,43.7159395,10.4018624
University of South Australia,Adelaide,Australia,12.41,1.35,26.38,70.42,1.63,201.67,47.87,12.07,1096.84,754.45,5.9,4.3,3.1225,2.01,-34.9281805,138.5999312
University of Surrey,Guildford,United Kingdom,18.02,0.74,15.01,76.27,1.5,253.34,35.01,12.01,1571.74,1191.17,4.655,2.415,2.83,1.27,51.2356068,-0.5732063
Bar Ilan University,Ramat Gan,Israel,20.39,2.26,10.2,64.09,1.17,211.9,29.82,12.53,1376.4,1181.85,7.935,3.1,2.745,1.57,32.0686867,34.8246812
King Abdulaziz University,Jeddah,Saudi Arabia,6.65,0.59,7.45,15.97,1.33,103.64,69.61,15.97,500.09,356.15,1.53,1.855,1.79,1.145,21.5810088,39.1653612
National Chiao Tung University,Hsinchu,Taiwan,3.23,1,3.72,16.15,0.65,57.7,25.77,9.69,319.49,220.1,1.7,1.65,3.175,3.665,24.8066333,120.9686833
Queen's University Belfast,Belfast,United Kingdom,18.62,1.08,14.89,66.06,2.32,135.57,43.24,10.21,1007.65,695.3,6.13,2.51,1.9475,1.46,54.596391,-5.9301829
Technical University of Denmark (DTU),Copenhagen,Denmark,19.55,1.13,8.38,75.42,2.1,200.85,36.22,16.76,1705.63,1278.77,6.945,1.975,2.915,1.565,55.6867243,12.5700724
Texas A&M University,College Station,United States,15,1.62,6.5,42.5,1.09,168.12,63.05,9.5,1050,916.67,5,2.89,2.72,2.155,30.5955289,-96.3071042
TU Dresden,Dresden,Germany,10.39,0.88,8.31,66.06,2.34,245.8,32.43,10.39,569.41,458.76,3.64,0.965,1.8925,1.25,51.0493286,13.7381437
Ulm University,Ulm,Germany,12.46,0.45,7.37,64.4,3.32,245.82,34.8,8.83,960.79,804.99,3.82,1.05,1.7575,1.055,48.3974003,9.9934336
University of Aberdeen,Aberdeen,United Kingdom,18.02,1.15,15.47,84.08,1.65,139.49,29.01,9.01,656.17,533.32,4.11,2.16,2.305,1.25,57.1482429,-2.0928095
University of Birmingham,Birmingham,United Kingdom,12.9,1.31,14.71,72.07,1.35,214.74,32.43,12.01,970.33,741.2,4.65,1.92,1.94,1.31,52.4796992,-1.9026911
University of Florida,Gainesville,United States,17.5,1.97,9.65,35,1.74,187.84,84.57,14,1223.17,900,4.75,3.04,3.99,2.665,29.6519684,-82.3249846
University of Innsbruck,Innsbruck,Austria,15.58,0.53,5.92,54.01,1.97,234.6,37.38,13.5,850.43,746.56,4.26,1.13,2.3475,1.485,47.2654296,11.3927685
University of Mannheim,Mannheim,Germany,11.43,0.42,7.48,77.9,2.23,270.71,34.4,12.46,903.67,497.54,3.765,0.935,1.8575,1.395,49.4892913,8.4673098
University of Passau,Passau,Germany,10.39,0.53,8.31,42.59,2.08,194.76,33.23,10.39,628.32,415.48,3.71,1.11,1.775,1.2,48.5748229,13.4609744
Uppsala University,Uppsala,Sweden,11.43,1.51,6,92.4,2.29,97.38,34.69,14.29,836.94,565.61,7.505,2.405,2.6375,1.27,59.8586126,17.6387436
